title,link_mal,release_date,anime_episode,anime_duration,anime_genre,img_link,description,studio,source,show_type
Dosanko Gal wa Namara Menkoi,https://myanimelist.net/anime/53421/Dosanko_Gal_wa_Namara_Menkoi,"Jan 9, 2024",12 eps,24 min ,"['Comedy', 'Romance']",https://cdn.myanimelist.net/images/anime/1937/136906.jpg,"Having just moved from Tokyo to Hokkaido, high school student Tsubasa Shiki decides to explore the picturesque winter landscape he could never experience in the nation's capital. It only takes a moment for Tsubasa's idealized view of Japan's northernmost prefecture to crumble, as the sheer cold and frigid air quickly overwhelm him. While trying to find the way to his new home, Tsubasa runs into Minami Fuyuki—a talkative and friendly Hokkaido native who, despite the cold, is wearing a short skirt. The girl wastes no time in striking up a conversation, and Tsubasa comes to realize that the winter weather is not all that is too much for him to handle.

The next day, Tsubasa is shocked to learn that not only is Fuyuki in his class, but her seat is also right next to his. Swept along by Fuyuki's persistent advances, the young man soon becomes captivated by both life in Hokkaido and the beautiful girl determined to get closer to him. As he deepens his relationship with Fuyuki and meets other fashionable girls from his school, Tsubasa finds out that Hokkaido gals truly are adorable.

[Written by MAL Rewrite]",Blade,Manga,TV
Ninja Kamui,https://myanimelist.net/anime/56285/Ninja_Kamui,"Feb 11, 2024",13 eps,23 min ,"['Action', 'Sci-Fi']",https://cdn.myanimelist.net/images/anime/1142/141351.jpg,"Seemingly an average man, Joe Logan leads a peaceful life in the countryside with his wife and child. However, the Logan family have actually assumed false identities to escape from Joe's past as a fearsome ninja assassin. Despite a string of high-profile murders of his former peers, Joe is sure that his new life is secure—but his tranquil bliss is soon shattered when his family is slaughtered by members of his former clan.

Left for dead, Joe wakes up in a hospital, unsure of how he survived the wounds that should have killed him. Police detectives Emma Samanda and Mike Moriss, assigned to investigate the Logan family's deaths, witness another attempt on Joe's life. However, this time Joe is prepared. Unleashing secret techniques, he easily dispatches his enemies, shedding his new identity in the process.

Embracing his old ways, Joe shrouds himself in his former persona, cutting through the organization he once served in the name of cold-blooded revenge. Assisted in his hunt by the detective duo, Joe will stop at nothing to kill his past and the demons hailing from it.

[Written by MAL Rewrite]",E&H Production,Original,TV
Nozomanu Fushi no Boukensha,https://myanimelist.net/anime/51648/Nozomanu_Fushi_no_Boukensha,"Jan 8, 2024",12 eps,23 min ,"['Action', 'Adventure', 'Fantasy']",,"While exploring a labyrinth, Rentt Faina, an adventurer with lots of experience but little to show for it, is killed by a dragon upon discovering its lair. Shockingly, he wakes up to find himself turned into a skeleton, the lowest class of undead monsters. As Rentt fights against the other monsters of the labyrinth, he discovers that slaying them gains him experience towards higher stages of undead evolution—even ones with flesh! With this revelation in hand, Rentt obtains a new objective in his undeath: keep evolving in the hope of eventually becoming a vampire, the highest form of undead that is nearly indistinguishable from human beings.

Despite being forced to hide his past identity and monstrous nature under an unremovable mask, Rentt manages to return to a semblance of his former life. Granted shelter by Lorraine Vivier, an elite researcher and retired adventurer, Rentt assumes her surname and starts over from scratch as a rookie. Determined to pursue his childhood dream and become a mithril-class adventurer, Rentt must be cautious not to disclose his new bodily circumstances, lest the adventurers’ guild seek to exterminate the monster he has become.

[Written by MAL Rewrite]",Connect,Light novel,TV
Mahou Shoujo ni Akogarete,https://myanimelist.net/anime/54722/Mahou_Shoujo_ni_Akogarete,"Jan 3, 2024",13 eps,23 min ,"['Action', 'Comedy', 'Girls Love', 'Ecchi']",,"A team of three magical girls known as Tres Magia protects the town where Utena Hiiragi lives. Like many others, Utena loves these magical girls who valiantly fight in the name of justice. One day, a mysterious black mascot character appears before Utena and grants her the opportunity of a lifetime: a chance to transform into a magical girl.

However, the offer is not what it seems, as Utena has been recruited for an evil organization to fight the magical girls she has always admired. Utena is then forced to confront Tres Magia in battle; but instead of feeling remorse, she unexpectedly finds pleasure in inflicting pain on the magical girls. Completely giving in to her desires, Utena embraces her role as a villain, slowly transforming her adoration for magical girls into a new sadistic obsession.

[Written by MAL Rewrite]",Asahi Production,Web manga,TV
Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,https://myanimelist.net/anime/54837/Akuyaku_Reijou_Level_99__Watashi_wa_Ura-Boss_desu_ga_Maou_dewa_Arimasen,"Jan 9, 2024",12 eps,23 min ,['Fantasy'],,"The beginning of Light Magic and the Hero, an otome RPG, unfolds fairly normally: the heroine, Alicia Ehnleit, meets her three love interests one after another and then inevitably comes face-to-face with the villainess. Yumiella Dolkness may be of noble descent, but her dark hair and rare dark-type magic—both associated with the Demon Lord—spark fear in anyone who sees her. When she is five years old, Yumiella regains memories of her previous life in modern Japan, also realizing that her fate is to become the hidden boss that appears after Alicia and her suitors defeat the Demon Lord.

Yumiella refuses to live as the game dictates and, as she prefers the game's fantasy elements over its romance, she decides to cultivate her magical skills and level up in secret. However, everything falls apart on the day of the Royal Academy's entrance ceremony. Yumiella's powers are measured at level 99—something thought impossible even for the royal knights, let alone a 15-year-old girl. With the royal family requesting her help, and everyone else insisting that she prove her strength, Yumiella realizes that her dream of a quiet life is no longer an option.

[Written by MAL Rewrite]",Jumondo,Light novel,TV
Majo to Yajuu,https://myanimelist.net/anime/52816/Majo_to_Yajuu,"Jan 12, 2024",12 eps,24 min ,"['Action', 'Fantasy']",,"Cursed by a witch, the feral and tempestuous Guideau tenaciously searches for the culprit so she can exact revenge. To this end, she joins the Order of Magical Resonance, an organization that deals with everything connected to magic. The Order agrees to work with Guideau in return for her help solving the myriad of magic-related cases occurring across the world.

The Order's suave and mysterious mage Ashaf accompanies Guideau for the sake of successfully completing missions. As the pair traverses the land in search of that unknown witch, their experience with the fantastical world of magic grows ever more peculiar the further they advance in their journey.

[Written by MAL Rewrite]",Yokohama Animation Laboratory,Manga,TV
Ao no Exorcist: Shimane Illuminati-hen,https://myanimelist.net/anime/53889/Ao_no_Exorcist__Shimane_Illuminati-hen,"Jan 7, 2024",12 eps,23 min ,"['Action', 'Supernatural']",,"At True Cross Academy, Rin Okumura unknowingly comes across the first signs that something is amiss; ordinary people have been gaining the ability to perceive the invisible creatures that roam the human realm, Assiah. While Rin sees this as an opportunity to make a new friend, his twin brother, Yukio, is more burdened than ever. Swamped with his education, exorcist duties, and teaching position, Yukio has remained silent about his awakened powers, unable to understand their scale or significance.

While Rin and his friends prepare for the annual Exorcist Certification Exam, the True Cross Order has uncovered the first artificial gate to the demonic realm of Gehenna. Witnessing its size and the advanced technology that made it possible, the exorcists realize they are now dealing with the Illuminati, an extremely wealthy and powerful organization. Moreover, the inscrutable Illuminati have planted three spies in the True Cross Order—and one may be hiding among the aspiring exorcists sworn to protect mankind from the demonic threat.

[Written by MAL Rewrite]",Studio VOLN,Manga,TV
"Sokushi Cheat ga Saikyou sugite, Isekai no Yatsura ga Marude Aite ni Naranai n desu ga.",https://myanimelist.net/anime/53730/Sokushi_Cheat_ga_Saikyou_sugite_Isekai_no_Yatsura_ga_Marude_Aite_ni_Naranai_n_desu_ga,"Jan 5, 2024",12 eps,23 min ,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,"During a school trip, a bus full of students is suddenly transported to another world by a sage named Sion. She bestows most of the students with powers called Gifts, seeking to recruit them to become sages as well. However, a few are excluded from receiving a Gift, resulting in the others leaving them behind.

Yogiri Takatou, one of the students who did not receive a Gift, wakes up to find a dragon attacking the bus. Amidst the chaos, he executes the dragon using his innate ability to instantly put anything to death. Alongside fellow survivor Tomochika Dannoura, Takatou sets out to find a way back to Earth, all while eliminating anyone who dares to underestimate him—including his former classmates.

[Written by MAL Rewrite]",Okuruto Noboru,Light novel,TV
Jaku-Chara Tomozaki-kun 2nd Stage,https://myanimelist.net/anime/50803/Jaku-Chara_Tomozaki-kun_2nd_Stage,"Jan 3, 2024",13 eps,23 min ,"['Drama', 'Romance']",,"Fumiya Tomozaki is now cruising through the game of life—all thanks to the guidance of Aoi Hinami, his popular classmate and rival in the online game Attack Families, widely known as ""Tackfam."" As the summer holiday draws to a close and a new term commences, Tomozaki reunites with Aoi, who reminds him of his ultimate goals: to become well-liked among his peers and find himself a girlfriend.

However, Tomozaki puts his ambitions on hold when his innocent friend, Hanabi Natsubayashi, starts being bullied. To make matters worse, Aoi is characteristically out of touch with the situation. But Tomozaki is not alone in resolving this issue—he now has a group of loyal friends who are all determined to help Hanabi and ensure they enjoy their youths together to the fullest.

[Written by MAL Rewrite]",Project No.9,Light novel,TV
"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita 2nd",https://myanimelist.net/anime/53488/Shin_no_Nakama_ja_Nai_to_Yuusha_no_Party_wo_Oidasareta_node_Henkyou_de_Slow_Life_suru_Koto_ni_Shimashita_2nd,"Jan 7, 2024",12 eps,23 min ,"['Adventure', 'Fantasy', 'Romance']",,"Finally free of her Blessing's impulses, former Hero Ruti has settled into her idyllic slow life with assassin housemate Tisse in the border town of Zoltan. She's happy to once again be close to her apothecary brother Red, the former Guide of her previous Hero's Party, while he's living his best loved-up life with his partner (and soon-to-be fiancee) Princess Rit. Unfortunately, there's a new Hero on the scene whose fundamentalist interpretation of his Blessing's urges will bring conflict and despair to sleepy Zoltan…

(Source: ANN)",Studio Flad,Light novel,TV
Oroka na Tenshi wa Akuma to Odoru,https://myanimelist.net/anime/55129/Oroka_na_Tenshi_wa_Akuma_to_Odoru,"Jan 9, 2024",12 eps,23 min ,"['Comedy', 'Supernatural']",,"Losing their war against Heaven's angel army, the demons of Hell are on the cusp of collapse. As a last ditch attempt to turn the tides of the war, the demons send Akutsu Masatora to the mortal plane on Earth to save their homeland from the angels. Disguising himself as a high school student, Akutsu seeks to recruit someone with the capability to lead the demons to victory.

Akutsu does not have to look far: among his classmates is the magnificent Lily Amane, a transfer student who seems like the perfect candidate for Akutsu's plans. But as luck would have it, Lily is one of the very angels that Akutsu is meant to be fighting against, and his attempt to recruit her might end up being the biggest blunder in the failing war. Worse yet, Akutsu may fall in love with his own worst enemy.

[Written by MAL Rewrite]",Children's Playground Entertainment,Manga,TV
Kekkon Yubiwa Monogatari,https://myanimelist.net/anime/54265/Kekkon_Yubiwa_Monogatari,"Jan 6, 2024",12 eps,23 min ,"['Action', 'Fantasy', 'Romance', 'Ecchi']",,"A decade ago, princess Krystal Novaty “Hime” Nokanatika traveled from another world to escape assassination attempts by an evil force. When she arrives in modern-day Japan, she encounters Haruto Satou. With him she shares a promise: he must forget what he has just witnessed, and the two will become friends. Now heading back to the Nokanatika Kingdom to fulfill her royal duties, Hime bids farewell to Haruto. However, when the young man suddenly remembers his first meeting with Hime, he rushes to the location where she first appeared and crosses the dimensional portal to be reunited with her.

His arrival disrupts the marriage ceremony between Krystal and prince Marmarugias Gisaras. The wedding is brutally interrupted by the attack of an abyss monster who threatens the princess' life. Acting impulsively, Hime decides to exchange rings with Haruto, which grants her new husband light powers that permit him to slay the monster. Now dubbed as the Ring King, Haruto must marry four other princesses to acquire new magical powers and have a chance to prevail in his fight against the enemy of the world: the Abyss King.

[Written by MAL Rewrite]",Staple Entertainment,Manga,TV
Saijaku Tamer wa Gomi Hiroi no Tabi wo Hajimemashita.,https://myanimelist.net/anime/53590/Saijaku_Tamer_wa_Gomi_Hiroi_no_Tabi_wo_Hajimemashita,"Jan 12, 2024",12 eps,23 min ,"['Adventure', 'Fantasy']",,"Born into a loving family, Femicia appears to have a bright future ahead of her. When she finally turns five, the time comes to go to the church to have her skills appraised. However, while she does receive a monster tamer skill, it turns out that Femicia has zero stars for that ability. To make matters worse, society considers those who have zero stars to be harbingers of misfortune; as a result, Femicia is shunned by everyone—including her family.

Soon enough, Femicia is chased out of her village and is constantly on the run. Fearing for her life, she decides to masquerade as a boy and change her name to Ivy. With a goal given to her by a fortune teller to reach the royal capital, Ivy meets and successfully tames a slime, starting an unlikely friendship that may provide a means to get the destiny she deserves.

[Written by MAL Rewrite]",Studio Massket,Light novel,TV
Metallic Rouge,https://myanimelist.net/anime/54794/Metallic_Rouge,"Jan 11, 2024",13 eps,22 min ,"['Action', 'Sci-Fi']",,"After emerging victorious against an alien species known as Usurpers using combat androids called Neans, mankind colonized Mars and enjoyed post-war peace. Having fulfilled their purpose as soldiers, Neans became subservient workers and second-class citizens to humans. Requiring a daily dose of Nectar to sustain themselves, the androids depend on their masters for its supply of the drug.

However, among this societal hierarchy lie Proto-Neans, independent specialized androids that can summon metallic exoskeletons with superhuman capabilities. Rouge Redstar is one such Proto-Nean working undercover for Aletheia, the government organization overseeing the regulation of Neans, alongside her human partner, Naomi Orthmann.

Rouge and Naomi's mission is to eliminate the Immortal Nine—Proto-Neans who threaten humanity for cryptic reasons. At the same time, an investigator is making his way to Mars to follow a series of murders where Rouge is considered the prime suspect. As the pair delve deeper into their search for the Immortal Nine, they uncover groundbreaking information about the rogue androids and the organization they work for.

[Written by MAL Rewrite]",Bones,Original,TV
Sasaki to Pii-chan,https://myanimelist.net/anime/52482/Sasaki_to_Pii-chan,"Jan 5, 2024",12 eps,25 min ,"['Adventure', 'Comedy', 'Fantasy']",,"Sasaki, a 39-year-old corporate employee, has resigned himself to live a modest life without dreams and dangers. To his great surprise, his fate takes a brutal turn after he decides to adopt a Java sparrow that he names Pii-chan. The talking bird not only happens to be a reincarnation of a famous magician from another world, but it decides to grant some of its powers to Sasaki—along with the ability to traverse between worlds. Sasaki begins a lucrative business of selling technological items from his world to the less advanced civilization of the other.

However, Sasaki's life becomes more chaotic when he stops an attempt on a woman's life with his new powers.  Unfortunately, the woman Sasaki saved also happens to be a government agent named Hoshizaki, who is tasked with tracking down gifted individuals like him. Forced to join Hoshizaki's secret agency, Sasaki partakes in dangerous missions to find other gifted criminals. He does not even have the luxury of hiding in the other world, where a war is about to break out. If he wants to protect peace in both worlds, Sasaki will have to become the hero that no one expects him to be.

[Written by MAL Rewrite]",SILVER LINK.,Light novel,TV
Ishura,https://myanimelist.net/anime/54449/Ishura,"Jan 3, 2024",12 eps,23 min ,"['Action', 'Adventure', 'Fantasy']",,"After the demise of the demon king, the resulting power vacuum has broken the balance of the world. Eager to claim this power for themselves, self-proclaimed demon kings from various worlds assemble in the New Principality of Lithia to fight for it. Among them, master swordsman Soujirou Yagyuu seeks to take this coveted position for himself. Joined by Tooi Kagizume no Yuno, a young girl he saved from an army of golems that destroyed her city, Soujirou enters Lithia to battle his way to the title.

At the same time, the leaders of the Aureatia Kingdom seek to destabilize Lithia by launching bandits after the convoys of merchandise transiting through the principality. Enraged, Imashime of Taren, the founder of Lithia and defector from Aureatia, sends vicious thief Kasasagi no Dakai to investigate the origin of these attacks. With war on the brink of eruption, no one can predict what influence the contenders for the demon king's throne will have on the coming conflict.

[Written by MAL Rewrite]",Passione,Light novel,TV
Gekai Elise,https://myanimelist.net/anime/54632/Gekai_Elise,"Jan 10, 2024",12 eps,23 min ,"['Fantasy', 'Romance']",,"In her first life, the renowned and genius surgeon Dr. Aoi Takamoto was Elise de Clorance, a villainess of noble descent. Elise's selfishness, insolence, and obsessive love for her fiancé—Prince Linden de Romanoff—led to the deaths of her family members and, eventually, herself. Only after being reborn did Elise realize the error of her ways and decide that, instead of ruining lives, she would devote herself to saving them. But a tragic airplane crash robs her of her dreams too soon.

By a miracle, Elise wakes up in her original body before her official engagement to Linden. Recognizing the chance to cherish her loving family and free Linden from an unwanted marriage, Elise wishes to use her advanced medical knowledge to continue down the path of saving lives. In a deal with the emperor, Elise is given only six months to prove that her true place is not on the throne, but rather with the wounded and ailing who desperately need her help.

[Written by MAL Rewrite]",Maho Film,Web manga,TV
Bucchigiri?!,https://myanimelist.net/anime/55358/Bucchigiri,"Jan 13, 2024",12 eps,24 min ,"['Comedy', 'Supernatural']",,"Minato Kai and Siguma Squad, two rival gangs at Ichizu High School, are embroiled in a bitter power struggle. As a transfer student, Arajin Tomoshibi has no interest in getting involved; instead, his priority is finding a girlfriend. Fortunately for him, he is placed next to Mahoro Jin, the prettiest girl in the class who also seems to like him. However, she has an overprotective older brother, Marito—none other than the combative leader of Siguma Squad. Moreover, Arajin's reunion with his childhood friend, Matakara Asamine, spells trouble since Matakara is a member of Minato Kai.

With his rotten luck, Arajin also accidentally awakens the genie Senya, known as a Honki Person from ancient legends. Senya takes a shine to him because of the young man's fervent aspiration—despite it only being the loss of his virginity. While Arajin would be the first to flee from a fight, Senya lending him his powers helps the lovesick boy to hold his own against the likes of Marito, although this only raises the interest of both gangs in recruiting him. As the turf wars heat up when a third gang joins the fray, Arajin's involvement may be unavoidable.

[Written by MAL Rewrite]",MAPPA,Original,TV
Kyuujitsu no Warumono-san,https://myanimelist.net/anime/54617/Kyuujitsu_no_Warumono-san,"Jan 8, 2024",12 eps,23 min ,"['Fantasy', 'Slice of Life']",,"As a member of a malevolent organization, the General is tasked with invading Earth and wiping out humanity. Even an extraterrestrial being like him, however, needs a chance to rest.

Not even the Rangers—a team solely dedicated to defeating the General and his colleagues—will stand in the way of him visiting pandas at the zoo, buying ice cream at the convenience store, and enjoying his well-deserved day off from committing evil deeds.

[Written by MAL Rewrite]",Shin-Ei Animation,Web manga,TV
"Saikyou Tank no Meikyuu Kouryaku: Tairyoku 9999 no Rare Skill-mochi Tank, Yuusha Party wo Tsuihou sareru",https://myanimelist.net/anime/56845/Saikyou_Tank_no_Meikyuu_Kouryaku__Tairyoku_9999_no_Rare_Skill-mochi_Tank_Yuusha_Party_wo_Tsuihou_sareru,"Jan 7, 2024",12 eps,23 min ,"['Action', 'Adventure', 'Fantasy']",,"Rud is a tank of the Hero's Party and is said to have the highest defense ever in history. The party often does labyrinth raids, but to Rud, it means more than just a raid. To cure his beloved sister's illness, he is in search for the wish-granting treasure that might be hidden in those labyrinths. But one day, the arrogant hero kicks him from the party after an unsuccessful raid attempt, blaming it on his skills whose effects he is still unaware of.

With nowhere else to go and nothing to do, he decides to return to his hometown, where his sister is waiting. On his way there, he saves a girl who was being attacked by a monster. Unexpectedly, this girl has an extremely rare skill called ""Appraisal."" Thanks to her skill, Rud is able to discover the truth behind his unknown skills, which turn out to be very powerful skills. With a defense of 9999 and powerful skills, thus begins the adventure of the strongest tank, Rud!

(Source: Square Enix)",Studio Polon,Manga,TV
